route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
27-VIC,4430,11317285:10000402:10052036,to McKenzie only,36411,10052036,1
28-VIC,4462,11333152:10000404:10048987,Majestic via Shelbourne,26525,10048987,0
95-VIC,4446,11038870:10000405:10048874,Blink - to Langford,18836,10048874,1
6-VIC,4462,11332717:10000406:10050055,Royal Oak Exch via Royal Oak Ctr,18715,10050055,0
3-VIC,4460,11329652:10000408:10050074,Royal Jubilee via Quimper Loop,19489,10050074,1
22-VIC,4460,11329730:10000411:10052472,Vic General via Hastings,36320,10052472,0
52-VIC,4445,11037211:10000412:10052737,Colwood Exch via Royal Bay,26436,10052737,0
24-VIC,4460,11328784:10000413:10051457,Cedar Hill via Cook North,18879,10051457,0
26-VIC,4446,11039885:10000416:10049850,Dockyard via McKenzie/Tillicum,40061,10049850,1
8-VIC,4459,11323861:10000417:10051978,Oak Bay via Finlayson,26943,10051978,0
3-VIC,4457,11322808:10000419:10049802,Royal Jubilee,19664,10049802,1
4-VIC,4444,11001363:10000421:10049749,UVic via Hillside,18645,10049749,0
4-VIC,4439,11001363:10000421:10050817,UVic via Hillside,18645,10050817,0
60-VIC,4430,11318516:10000426:10050121,Royal Bay Exch via Lagoon,18644,10050121,1
21-VIC,4462,11333728:10000427:11183953,Interurban to Viaduct Loop,23520,11183953,0
72-VIC,4460,11328315:10000430:10795724,Downtown via Saanichton,18716,10795724,1
6-VIC,4461,11261262:10000431:10052210,Downtown,18962,10052210,1
28-VIC,4459,11323906:10000432:10795667,Downtown,36290,10795667,1
95-VIC,4430,11316737:10000434:10052782,Blink - to Downtown,18717,10052782,0
21-VIC,4461,11262437:10000435:10050678,Downtown - to 7 UVic,23385,10050678,1
30-VIC,4445,11036381:10000436:10051732,Downtown,18838,10051732,1
6-VIC,4445,11036074:10000437:10050279,Royal Oak Exch via Royal Oak Ctr,18715,10050279,0
4-VIC,4455,11087644:10000439:10050340,Downtown via Hillside,26927,10050340,1
4-VIC,4450,11087644:10000439:10051254,Downtown via Hillside,26927,10051254,1
10-VIC,3240,11314578:10000441:10052663,Royal Jubilee via Vic West,18521,10052663,0
72-VIC,4461,11260516:10000442:10796287,Swartz Bay Ferry via Saanichton,18512,10796287,0
52-VIC,4461,11262212:10000443:10052681,Bear Mountain via Millstream,40065,10052681,1
15-VIC,4461,11261771:10000445:10050994,UVic - Fort/Foul Bay Express,19054,10050994,0
95-VIC,4430,11316834:10000446:10050501,Blink - to Downtown,18717,10050501,0
4-VIC,4457,11321697:10000447:11183905,Downtown via Hillside,26927,11183905,1
14-VIC,4446,11039757:10000449:10049850,UVic via Richmond,26515,10049850,0
31-VIC,4446,11039428:10000453:10052396,Royal Oak Exch via Glanford,18743,10052396,0
27-VIC,4457,11321189:10000456:10049065,Downtown,36309,10049065,1
4-VIC,4450,11087713:10000458:10049380,Downtown via Hillside,26927,10049380,1
4-VIC,4455,11087713:10000458:10050969,Downtown via Hillside,26927,10050969,1
15-VIC,4462,11332985:10000461:11184239,Esquimalt - Fort/Yates Express,23403,11184239,1
75-VIC,4455,11084713:10000462:11025912,Downtown - Keating Industrial,18820,11025912,1
75-VIC,4450,11084713:10000462:11025962,Downtown - Keating Industrial,18820,11025962,1
6-VIC,4459,11324178:10000463:10049381,Downtown,18962,10049381,1
6A-VIC,4461,11261255:10000464:10050787,Royal Oak Exch via Emily Carr,21583,10050787,0
22-VIC,4459,11325095:10000465:10051355,Vic General via Hastings,36320,10051355,0
58-VIC,4439,11033196:10000466:10052150,Goldstream Mdws via Westhills,40201,10052150,1
58-VIC,4444,11033196:10000466:10052158,Goldstream Mdws via Westhills,40201,10052158,1
15-VIC,4455,11087976:10000468:10051316,UVic - Fort/Foul Bay Express,19054,10051316,0
15-VIC,4450,11087976:10000468:10052486,UVic - Fort/Foul Bay Express,19054,10052486,0
22-VIC,4450,11086913:10000470:11183948,Hillside Ctr via Hastings,19096,11183948,1
22-VIC,4455,11086913:10000470:11184394,Hillside Ctr via Hastings,19096,11184394,1
21-VIC,4430,11317421:10000471:11184553,Downtown - to 7 UVic,23385,11184553,1
95-VIC,4459,11323695:10000473:10050455,Blink - to Downtown,18717,10050455,0
28-VIC,4460,11328671:10000475:10051108,Majestic via Shelbourne,26525,10051108,0
72-VIC,4460,11328328:10000476:10795724,Swartz Bay Ferry via Saanichton,18512,10795724,0
60-VIC,4430,11318584:10000477:10052738,Langford Exch via Lagoon,40300,10052738,0
26-VIC,4430,11316477:10000479:11184292,Dockyard via McKenzie/Tillicum,40061,11184292,1
10-VIC,4445,11037557:10000480:10049637,James Bay via Vic West,18701,10049637,1
4-VIC,4430,11316206:10000482:10052308,UVic via Hillside,18645,10052308,0
15-VIC,4450,11087890:10000483:10049042,Esquimalt - Fort/Yates Express,23403,10049042,1
15-VIC,4455,11087890:10000483:10051150,Esquimalt - Fort/Yates Express,23403,10051150,1
26-VIC,4459,11324757:10000484:10051425,Dockyard via McKenzie/Tillicum,40061,10051425,1
58-VIC,4462,11333869:10000485:10049352,Langford Exch via Westhills,18751,10049352,0
4-VIC,4461,11261444:10000486:11183791,UVic via Hillside,18645,11183791,0
4-VIC,4461,11261412:10000489:11183780,Downtown via Hillside,26927,11183780,1
2-VIC,4439,11032765:10000491:10049013,South Oak Bay,23427,10049013,0
2-VIC,4444,11032765:10000491:10050928,South Oak Bay,23427,10050928,0
5-VIC,4461,11261016:10000501:10049653,James Bay - Fisherman's Wharf,36285,10049653,1
24-VIC,3240,11313750:10000502:10051037,Cedar Hill via Cook North,19044,10051037,0
21-VIC,4461,11262263:10000503:11184339,Interurban to Camosun only,23380,11184339,0
58-VIC,4459,11325319:10000504:10052171,Goldstream Mdws via Westhills,40201,10052171,1
26-VIC,4444,11001779:10000505:11184192,UVic via Tillicum/McKenzie,31720,11184192,0
26-VIC,4439,11001779:10000505:11184573,UVic via Tillicum/McKenzie,31720,11184573,0
4-VIC,4430,11316278:10000506:10051974,UVic via Hillside,18645,10051974,0
47-VIC,4450,11084562:10000507:10049221,Downtown,39910,10049221,0
47-VIC,4455,11084562:10000507:10052602,Downtown,39910,10052602,0
2-VIC,4460,11328762:10000508:10051142,James Bay - Fisherman's Wharf,36544,10051142,1
28-VIC,3240,11313558:10000509:10049479,Majestic via Shelbourne,26525,10049479,0
4-VIC,4430,11316299:10000514:11026183,Downtown via Hillside,26927,11026183,1
61-VIC,4446,11038963:10000515:10051497,Sooke,39808,10051497,1
52-VIC,4462,11333606:10000516:10048990,Bear Mountain via Millstream,40065,10048990,1
57-VIC,4445,11038592:10000522:10051229,Thetis Heights via McCallum,22957,10051229,0
61-VIC,4460,11328484:10000523:11184123,Langford Exch,19003,11184123,0
21N-VIC,4439,11028446:10000524:11183800,Night Rte to Camosun via Straw Vale,23396,11183800,0
21N-VIC,4444,11028446:10000524:11184151,Night Rte to Camosun via Straw Vale,23396,11184151,0
95-VIC,4460,11328365:10000525:10052293,Blink - to Downtown,18717,10052293,0
3-VIC,4462,11333394:10000526:10051607,James Bay,21723,10051607,0
28-VIC,3240,11313554:10000530:10051699,Downtown,36290,10051699,1
60-VIC,4445,11038687:10000533:10052632,Langford Exch via Lagoon,19362,10052632,0
8-VIC,4461,11260983:10000534:10050915,Tillicum Ctr via Finlayson,26916,10050915,1
27-VIC,4462,11332306:10000535:10050098,Downtown,36309,10050098,1
21-VIC,4439,11041358:10000538:11183745,Interurban to VI Tech Park,18452,11183745,0
21-VIC,4444,11041358:10000538:11184696,Interurban to VI Tech Park,18452,11184696,0
27-VIC,3240,11313542:10000539:10052093,Gordon Head via Shelbourne,26178,10052093,0
28-VIC,4450,11086226:10000540:10050191,Downtown,36290,10050191,1
28-VIC,4455,11086226:10000540:10051243,Downtown,36290,10051243,1
61-VIC,4439,11001230:10000541:10050442,Langford Exch,19003,10050442,0
61-VIC,4444,11001230:10000541:10050940,Langford Exch,19003,10050940,0
95-VIC,3240,11313359:10000544:10052152,Blink - to Downtown,18717,10052152,0
24-VIC,4460,11328801:10000545:10050107,Cedar Hill via Cook North,19044,10050107,0
60-VIC,4455,11085868:10000548:10049326,Langford Exch via Lagoon,40300,10049326,0
95-VIC,4446,11038871:10000549:10048874,Blink - to Langford,18836,10048874,1
28X-VIC,4430,11317138:10000550:10051312,Majestic - Shelbourne Express,23484,10051312,0
21-VIC,4462,11333694:10000551:11183902,Downtown - to 7 UVic,23385,11183902,1
72-VIC,4459,11315824:10000554:10796034,Downtown via Saanichton,18716,10796034,1
4-VIC,4462,11332929:10000555:11184255,Downtown via Hillside,26927,11184255,1
52-VIC,4459,11325125:10000556:10050806,Bear Mountain via Millstream,40065,10050806,1
95-VIC,4462,11332135:10000557:10050015,Blink - to Langford,18836,10050015,1
52-VIC,4444,11027678:10000558:10048954,Colwood Exch via Royal Bay/RRU,39966,10048954,0
52-VIC,4439,11027678:10000558:10049047,Colwood Exch via Royal Bay/RRU,39966,10049047,0
14-VIC,4439,11046035:10000560:11184045,UVic via Richmond,26515,11184045,0
14-VIC,4444,11046035:10000560:11184624,UVic via Richmond,26515,11184624,0
